ID | NAME | IATA(3) | ICAO(4) | CALLSIGN | ID_COUNTRY_OF_ORIGIN
465,Air Tanzania,TC,ATC,TANZANIA,220
466,Aerotours Dominicana,,ATD,AEROTOURS,64
467,Atlantis Transportation Services,,ATE, Ltd.,
468,Aerotrans Airline,,ATG,BACHYT,115
469,Air Charter World,,XAC,,
470,Air Burkina,2J,VBW,BURKINA,36
471,Air Travel Corp.,,ATH,AIR TRAVEL,
472,Aero-Tropics Air Services,HC,ATI,,14
473,Air Traffic GmbH,,ATJ,SNOOPY,83
474,AeroTACA,,ATK,AEROTACA,49
475,Aerocentral,,ATL,CENTRALMEX,144
476,Airlines Of Tasmania,FO,ATM,AIRTAS,14
477,Air Saint Pierre,PJ,SPM,,76
478,Air Transport International,8C,AT,AIR TRANSPORT,
479,ASTRAL Colombia - Aerotransportes Especiales Ltda.,,ATP,ASTRAL,49
480,Air Transport Schiphol,,ATQ,MULTI,
481,Aeroferinco,,FEO,FERINCO,144
482,Aero Taxis Y Servicios Alfe,,FES,AERO ALFE,144
483,Avialesookhrana,,FFA,AVIALESOOKHRANA,
484,Africair Service,,FFB,FOXTROT FOXTROT,196
485,Atlas Airlines,,ATR,ATLAS-AIR,
486,Air Transport Service,,ATS,,
487,Aer Turas,,ATT,AERTURAS,107
488,Atlant Aerobatics Ltd.,,ATU,ATLANT HUNGARY,101
489,Avanti Air,,ATV,AVANTI AIR,83
490,Aero Trades (Western) Ltd.,,ATW,AERO TRADES,40
491,Austrian Airlines,OS,AUA,AUSTRIA,15
492,Air Southwest,,WOW,SWALLOW,
493,Augsburg Airways,IQ,AUB,AUGSBURG-AIR,83
494,Air Corporate,,CPV,AIRCORPORATE,110
495,Aviastar-Tu,,TUP,TUPOLEVAIR,
496,AirBridge Cargo,RU,ABW,AIRBRIDGE CARGO,
497,ATUR,,TUR,,65
498,ATESA Aerotaxis Ecuatorianos,,TXU,ATESA,65
499,Austin Express,,TXX,COWBOY,
500,Audi Air,,AUD, Inc.,
501,Augusta Air Luftfahrtunternehmen,,AUF,AUGUSTA,83
502,Abu Dhabi Amiri Flight,MO,AUH,SULTA,234
503,Aeroflot-Nord,5,AUL,DVINA,
504,Air Atlantic Uruguay,,AUM,ATLAMUR,238
505,Aviones Unidos,,AU,AVIONES UNIDOS,144
506,Avia Business Group,,AUP,,
507,Aero Servicios Expecializados,,SVE,AEROESPECIAL,144
508,Aurigny Air Services,GR,AUR,AYLINE,
509,Aus-Air,O,AUS,,14
510,Austral Lineas Aereas,AU,AUT,AUSTRAL,11
511,Aurora Aviation,,AUU, Inc.,
512,Air Uganda International Ltd.,,AUX,,232
513,Aerolineas Uruguayas,,AUY, S.A.,
514,Australian Airlines,AO,AUZ,AUSTRALIA,14
515,Avianca - Aerovias Nacionales de Colombia,AV,AVA, S.A.,
516,Aviation Beaufort,,AVB,BEAUPAIR,
517,Alamo Aviacion,,AVD, S.L.,
518,Aviair Aviation Ltd.,,AVF,CARIBOO,40
519,Air Falcon,,AVG,DJIBOUTI FALCO,62
520,AV8 Helicopters,,AVH,KENT HELI,
521,Avia Traffic Company,,AVJ,ATOMIC,121
522,AV8 Helicopters,,AVK,AVIATE-COPTER,206
523,Aviacion Ejecutiva Mexicana,,AVM, S.A.,
524,Air Vanuatu,F,AV,AIR VA,240
525,Aviation at Work,,AVO,AVIATION WORK,206
526,Avcorp Registrations,,AVP,AVCORP,
527,Alfa Aerospace,,LFP,ALFA-SPACE,14
528,Atlantic Airfreight Aviation,,LFR,LANFREIGHT,194
